pk,jsondata,id,name,description,markup_description,unitparameter_pk,ord,version
115,,cs-9129144897692025,Sundanese influence [27],"The native language of most of the population of western Java, where Jakarta is situated, is Sundanese.  This resulted in a large number of Sundanese loanwords in the dialect of Jakarta, and some of these words have been incorporated into the vocabulary of Indonesian as a whole.",,1,,1
132,,cs-9129144920514974,Sinicization [21],"After sinicization had reached its height during the Nara Period (710-794), in the following Heian period (794-1185) contact with the China was severely curtailed after the fall of the Tang, resulting in a ban on Japanese leaving the country around the end of the 9th century. During this time, a flourishing Japanese literature emerged, even though Chinese remained the language of administration all the time until the Edo Period (1604-1868). It is assumed that bilingualism among the nobility quickly waned, being replaced by a diglossia type of situation with Classical Chinese as the language of administration and other formal matters, but with Japanese used in all other situations. Indeed, this situation became even more complicated, with the written Japanese of the Heian period as another type being regarded as the language of high literature by later periods as opposed to the spoken vernacular. As for the Chinese, a bewildering number of different styles emerged (Habein 1984, and Hentai kanbun), some even read in a Japanese word order, by way of diacritical marks. Thus, even after the decline of bilingualism among the elite, the role of Chinese in Japanese society remained important, which resulted in a steady stream of loanwords incorporated into the Japanese language. The words were transmitted in writing, which means that the pronunciation of the Chinese loans was mainly according to the Sino-Japanese pronunciation from the Heian period.",,1,,1
116,,cs-9129144213158627,Pre-colonial contact [2],"For the pre-colonial period, two subsituations could be distinguished:

[1700-1800?] This is the period when Iraqw and Gorwaa were still one language that separated from Alagwa. It is the time of movement from the Kondoa area, probably along the Bubu river to the North, in the direction of Mount Hanang. There was pressure from Southern Nilotic speakers, pre-Datooga, who had a different cattle culture, and form the Rangi, who had agriculture and were different in culture. The balance of power between Iraqw/pre-Iraqw and Datooga/pre-Datooga shifted several times in the history, see Kießling (1998).

[1800-1900?] This is the time that Iraqw and Gorwaa separated. Iraqw expanded into the area where they live now. In this area they encountered Datooga speakers. Possible there were also Bantu speakers in the area who became Iraqw. A large population named Suule became Iraqw. It is not known which languages they spoke. Period of massive expansion of number of Iraqw speakers by total shift to Iraqw from a number of different languages. The Iraqw had contact with their Bantu neighbours and problems with Maasai intrusions.; [1700-1800?] This is the period when Iraqw and Gorwaa were still one language that separated from Alagwa. It is the time of movement from the Kondoa area, probably along the Bubu river to the North, in the direction of Mount Hanang. There was pressure from Southern Nilotic speakers, pre-Datooga, who had a different cattle culture, and form the Rangi, who had agriculture and were different in culture. The balance of power between Iraqw/pre-Iraqw and Datooga/pre-Datooga shifted several times in the history, see Kießling (1998).",,1,,1
117,,cs-912914453268913,Proto West Rift contact [2],"This is the period in Kondoa when the West-Rift languages formed one unit and the Burunge and the rest, Iraqw+Gorwaa+Alagwa, got separated. The earliest times show influence from pre-Rangi, the Bantu language that is dominant in the Kondoa region where proto-West-Rift must be located and some influence from pre-Sandawe, the Khoe language spoken in the same area.",,1,,1
244,,cs-9129144398901737,Greek bilingualism [9],Loanwords or suggested loanwords into Early Romani from Medieval Greek.,,1,,1
120,,cs-9129144256713533,Austronesian substrate [21],"This relates to the various theories discussed elsewhere, which either posit an Austronesian substrate in Japanese or posit a genealogical relationship to Austronesian. The sound correspondences offered are quite systematic, however their number remembers exceedingly small, and there does not seem to be convincing archaeological evidence for a link between Japan and the Austronesian lands. I have marked all words in question in this category.",,1,,1
126,,cs-9129144890691068,Influence from outer regions [21],"Even though the so-called Kyōto culture, which took root in Tōkyō after the Imperial court moved there in 1868, has ever been the dominant culture in Japan, the country has always been relatively diverse. This is true especially at the Northern and Southern ends of the country. In the North the Japanese had contact with the Ainu, who were continuously pushed back further north until the permanent Japanese settlement of the northern island of Hokkaidō starting around 1868, and in the South the Japanese have had contact to the Ryūkyū Kingdom, which was annexed by Japan in 1879. Ryūkyūan is clearly related to Japanese, while the relationship between Ainu and Japanese is controversial, even though some scholars link Ainu to the Korean-Altaic hypothesis (Patrie 1982). There are only three words in the database, two from Ainu and one from Ryūkyūan that have found their way into the Japanese lexicon.",,1,,1
219,,cs-9129144193071075,Cohabitation with Albanian and South Slavic speakers [8],Intense contact due to mixing of populations and movement of the respective groups within a single territory.,,1,,1
220,,cs-9129144303808445,Hungarian and Greek contact [8],Contact at different levels: Settlements in the immediate vicinity of speakers of the respective languages with some mixing of populations; application of the respective administrative systems in areas where part of the population spoke Romanian; direct trade with speakers of the respective languages.,,1,,1
121,,cs-9129144436661242,Chinese bilingualism [21],"Already in the Yayoi period, there was some kind of irregular contact between China and the Japan (for instance documented in the倭人傳 Worenchuan ""Account of the Wa People"" from the 3th century CE). The cultural exchange deepens with the rising number of immigrants from China and Korea, who introduce the Chinese script to Japan in the 4th century CE. In the 6th century CE Buddhism arrives in Japan, and vast Chinese-style reforms are instituted in 646. By the time of the Nara period (710-794), the sinicisation of the Japanese had reached its height and most of the Japanese elite had become bilingual in Japanese and Chinese and were also sent to China for study. The first extant written records in Japan date from the 8th century and are almost exclusively written in Chinese, with the exception of poems and ritual texts. Words that have found their way into the Japanese lexicon in this period (corresponding to Old Japanese and Late Old Japanese in the Age field), are classified in this category. The Sino-Japanese prounciation reflects the Chinese standard of these times: the first type of onyomi, called go’on, is based on the language of Chinese states south of the Yangzi River, and was primarily used during the Nara Period. The  second one, called kan’on, is based on the language of Sui and Tang, whose capitals were in the North of China, in Chang’an and Luoyang and was used during the Heian period. The fact that most Sino-Japanese readings are now kan’on does not mean that the majority of words from that era was borrowed during the Heian period, but rather that due to the still active bilingualism the Japanese switched from using a Souther Chinese variant to a Northern one. After 894, bilingualism declined and the Sino-Japanese pronunciation became fixed.",,1,,1
122,,cs-9129144760416585,Chinese bilingualism (possible neologism) [21],"There are a few words, around a dozen, from the same time as above, that are not attested in Chinese sources, or only at a very low frequency. It is certainly not improbable to assume that these words might have been coined by the Japanese themselves. In such a case, they were assigned this category.",,1,,1
123,,cs-9129144277765933,Early Chinese influence [21],"As mentioned elsewhere, some type of irregular contact between China and Japan already existed in the Yayoi Period. The cultural influence grows in intensity, which is aided by  the increasing number of Chinese-trained Korean immigrants to Japan. The Chinese script is brought to Japan in the 4th century CE, in the 6th century CE Buddhism arrives in Japan, and vast Chinese-style reforms are instituted in 646. Thus, it is not unreasonable to assume that this huge Chinese influence resulted in some loans even in the time period prior to the first extant written records in Japan, from around the 8th century CE. This is the theory put forward by Karlgren (1926), who argued for a number of early loans into Japanese.",,1,,1
140,,cs-9221226784987605,Arabic contact with Islam [5],"Arabic is closely linked to the advent and spread of Islam in West and Central Africa both in terms of religion and dominant political force and culture, but there have also been nomadic speakers of Shuwa Arabic (and possibly speakers of Chad Arabic) who had entered in greater numbers from the eastern region from 1700 on, after having infiltrated southern Kanem and the areas southeast of Lake Chad, some of whom underwent complete linguistic and cultural assimilation (“Kanuri(ci)zation”). Islamization began in the 11th century. Quite likely, Islam reached the area between the River Niger in the west and Lake Chad in the east via several gateways and roughly at the same time: The earliest contacts may have been through either the straight north-south trans-Saharan route from Fezzan to Lake Chad or from the east, i.e. following what would later become the main pilgrimage route along the southern fringes of the Sahara desert that connected, for instance, the Islamic centres in Mali, such as Timbuktu, with Khartoum in Sudan and the Holy Cities across the Red Sea. There was also the north-west gateway via Morocco and the western trans-Saharan trade routes.",,1,,1
246,,cs-9129144763445690,Northwest Indian bilingualism [9],Suggested loanwords into Proto-Romani from Northwestern Indo-Aryan languages and perhaps from Burushaski.,,1,,1
161,,cs-912914456702344,Post-revolutionary Russification [14],"This contact situation covers a period back in time to the founding of the Soviet Union after the October Revolution in 1917. Loanwords from this period are often easily distinguishable from Russian words adapted in pre-revolutionary times, since many of them refer to newly introduced matters such as terms related to Soviet social and political administration, technical innovations, etc. Due to the ever-increasing degree of Russification, even words for basic concepts were replaced by Russian borrowings. Most of the Russian loanwords from this stratum have been borrowed before the resettlement of the Skolt Saami to Finland in 1940, which is confirmed by the occurrence of cognate forms in the modern Skolt Saami dictionaries of Mosnikoff & Sammallahti (1988) and Sammallahti & Mosnikoff (1991).",,1,,1
124,,cs-9129144602037324,First European contact [21],"The first Europeans to come to Japan were from Portugal and Spain beginning in the 16th century. While official contact with those countries ceased by the middle of the 17th century, the Dutch establish longer-lasting trade links with Japan in 1609 and were permitted to keep a trading post in Nagasaki after the Japanese shogunate isolated all contact to the outside world in 1639 (sakoku). As the Dutch delegation was confined to an offshore artificial island in Nagasaki, official contact was extremely limited, with a handful of local interpreter families being the only group of Japanese officially allowed to learn Dutch, but after the relaxation of the ban on the import of European books in 1720, a number of Western texts, especially from medicine, found their way into the country, leading to the establishment of an academic discipline called rangaku “Dutch studies”.  Since ships from other European countries were not allowed to call in Japanese port, contact was limited to chance encounters. However, in order to better defend itself against the growing pressure to open up the country, the shogunate imported some weapons from France at the beginning of the 19th century, which was the leading military power of the time. Umegaki (1963:70f) mentions some French advisers brought in, possibly through Dutch mediation, as the Netherlands was under French occupation from 1795-1813. There are 10 words in the database from this period, mostly from Dutch, but also from Portuguese and French. Usually these words can be clearly related to cultural innovations brought in to Japan by the respective countries.",,1,,1
125,,cs-9129144907461621,Globalization [21],"English has become the most important language by far since the end of  the Second World War. Japan is no exception, especially as it was occupied by the United States following the Japanese defeat. Through American influence, Japanese has borrowed a lot of lexical material. At the same time, I have also included internationalisms from other languages in this category, by which I mean words for items that are foreign to Japanese culture, such as ponchos or cassava, knowledge of which spread to Japan due to the increasing degree of connectedness in the world. It is not always clear if those words were borrowed into Japanese through English or were borrowed directly. However, the vast majority of words from this contact situation is still from English, and there are some examples of Japanese coinages involving English lexical material.",,1,,1
154,,cs-9129144739995161,Influence of Mongol conquests [18],,,1,,1
221,,cs-9129144412319809,German contact [8],"Settlements in the immediate vicinity of speakers of the respective language with some mixing of populations; direct trade with speakers of the respective language. From the 19th Century onwards: perception of the donor language symbolising progress and cultural advancement, with a small proportion of the wealthier classes travelling to, and studying in, Austria and Germany.",,1,,1
127,,cs-9129144563771555,Korean influence [21],"As the neighboring country both of China and Japan, Korea has played an immensely important role in transmitting Chinese cultural influence to Japan. Especially after the Korean states of Paekche and Koguryō were invaded by other states in the 7th and 8th century CE, a lot of highly-skilled and Chinese-educated refugees from these states came to Japan, where they played an important role at the court and were able to maintain a high status due to their skills, quickly intermarrying with the Japanese aristocracy. Later on, during the sinicization of the state during the Nara period (710-794), some of them occupied important posts at the court. It is assumed that due to their quick integration they underwent rapid language shift from Korean to Japanese, but due to fact that most of the written records were in Chinese, the exact circumstances are unclear. Only borrowings from these periods offer some evidence for the Korean influence of that time. Often cited term include the name for Nara itself, which is said to come from the Korean nara “land”, and tera “temple”. There was no large-scale immigration from Korea until recent times, when  Japan colonised and annexed Korea  in 1905/1910. During this period, a large number of Koreans was brought into Japan as forced laborers, whose descendants remain the largest minority group in contemporary Japan. Borrowings from Korean into Japanese from this period are low in number and belong mainly to slang.",,1,,1
128,,cs-9129144857363581,Modern Chinese influence [21],"Even after the decline of Chinese-Japanese bilingualism in Japan from the later part of the Heian period, there was continued small-scale direct contact with China. For instance, during the Kamakura period (1192-1333), a small number of Zen Buddhist priests studied in China and introduced some new food and household items to Japan, for instance udon “noodle” and futon “bedding”. Also, trade with China continued as well, even during the time of extreme isolation of sakoku, Chinese traders were allowed to trade in Nagasaki. More recent loans, from the 19th and 20th centuries, have mainly been related to food as well (rāmen, wantan) and are clearly perceived as foreign words, not Chinese words. I have designated all Chinese loans that were not borrowed by way of written communication as “phonetic loans” in the Comments on Borrowed field and have assigned them to this contact situation.",,1,,1
129,,cs-9129144135118874,Modernization and Westernization [21],"Japan was forced to open up by the United States in 1854, which led to the downfall of the shogunate and to a new government under the Emperor, which proclaimed the Meiji period in 1868. A lot of trade with various Western countries ensued, and the Japanese government sent students to the West for study and invited Western experts to teach Japanese students and officials inside the country. Thus, during the early Meiji era, the modernization efforts were in the hand of a small group of bilingual speakers, leading to an influx of loans from various European languages. This later changed as the government increased its standardization efforts establishing a lot of Sino-Japanese terms. However, the influence of European languages never waned, and even though the vast majority of the population never became bilingual, new borrowings spread. This continued unhindered until the 1930s, when nationalist and militarist tendencies led to a purification effort to rid the language of foreign Western elements. All words from European languages that were borrowed between 1868 and 1945 are included in this category.",,1,,1
130,,cs-9129144723918137,British [1],"This label refers to the late European colonialism in East Africa in the 19th and 20th century. The most prominent donor language has been English; German, Italian and French via Malagasy have been donor languages for one word each and are subsumed under this label.",,1,,1
380,"{""start_year"": 1105, ""end_year"": 1105}",a-12-1105,1105 [12],,,2,,1
413,"{""start_year"": 1248, ""end_year"": 1271}",a-12-1248-1271,1248-1271 [12],,,2,,1
414,"{""start_year"": 1249, ""end_year"": 1249}",a-12-1249,1249 [12],,,2,,1
133,,cs-9129144627395219,Sinicization (possible neologism) [21],"As the Japanese kept using Chinese as the written language of administration even after the decline of bilingualism, the gap between the Chinese language used at the Chinese court and at the Japanese court widened. The meaning of some words diverged considerably and a small number of words appears to have been coined in Japan as well (which is largely based on negative evidence). When Japan was forcibly opened up by Western powers around the mid-19th century, the old traditional structures of the shogunate gave way to the new rule of the Emperor, who proclaimed the Meiji era in 1868. Under his rule, Japan sent out students to various Western countries and invited scholars from Western countries in order to learn from their advanced technologies and scientific knowledge.  Japan was able modernize within quite a short period of time, much earlier than China due to its smaller size and relative geographic remoteness. While during the early Meiji period, a lot of direct borrowing took place, this gave way to a more distinct bilingual setting later as the group of bilinguals, even though influential, always remained small. Official attempts at standardization furthered the use of the traditional Sino-Japanese material to express the variety of new concepts and objects that were brought into the Japanese culture. While some old terms from Classical texts were reused to express new concepts (for instance kagaku科学 “science”, was taken from an expression referring to the various disciplines aspirants had to study to sit for the entrance exams of Imperial China, kējŭ zhi xué 科挙之学), a lot of new terms were coined using the Sino-Japanese material available to the educated Japanese elite. For words in this category, I have a somewhat different approach depending on whether the words were first attested before the Meiji era or afterwards. For the former, I have only included them, if there are is no corresponding word in Chinese; in the case of the latter, if the word can be associated with the cultural domain of Westernization, and there is no positive evidence that the word in question was in use in Chinese prior to that, I have still assumed them to be Japanese coinages. This is explained in more detail in the annotations to the Borrowed field and the Calqued field.",,1,,1
134,,cs-9129144484304306,Early colonial contact [38],"The second phase arose with the arrival of the Europeans and the merchandise trade. The Kali'na people, living on the Guianese coast, referred to contact goods with the words of the first Europeans they met, namely Spanish and Portuguese, and less commonly English, Dutch and French. The Kali'na lexicon took on a stock of borrowings which were then diffused all along the coast of the Guiana’s, from the mouth of the Orinoco to the Approuague, in eastern Guiana. It was mainly diffused by means of a Kali’na-based pidgin named “Langue Générale Galibi” used between the different Amerindian populations, and the interpreters with accompanied traders or missionaries.",,1,,1
155,,cs-9129144921288443,Intermarriage with Selkup [18],"The Ket developed friendly relations with the selkup and even exchanged marriage partners after the traditional inter-Ket exogamous phratry system collapsed in the wake of smallpox epidemics. Selkup loans in Ket are somewhat more common and include the ethnonym la’q ‘Selkup’, a word that means ‘friend’ in Selkup, symbolizing the close relations between Ket and Selkup peoples. There are also loans relating to domesticated reindeer (qobd ‘castrated reindeer’, ollas ‘reindeer calf’, kaγli ‘reindeer sled’), with some Ket in the Yelogui River area (near present-day Kellog Village) even adopting reindeer breeding by the early 20th century.",,1,,1
284,,cs-9129144464685722,Spanish contact (possibly through another Mesoamerican language) [33],,,1,,1
369,"{""start_year"": 1001, ""end_year"": 1100}",a-12-1001-1100,1001-1100 [12],,,2,,1
135,,cs-9129144799857078,Francization [38],"In a fourth phase, Guiana underwent “Francization”, the unification of its administrative system as a French department, and the settlement of French institutions such as administration and schools.; As a consequence, contact with French became more intense with French tending to substitute Creoles as a vehicular language nowadays. Contacts with Creoles decrease, and speakers attitudes towards those languages change too. Mastering French is more or less seen as a key for social success (for work, studies, and implication in the political and administrative structures). Today, bilingualism with French is widespread for Kali’na speakers. It is worthwhile to note that nowadays, those language contacts take place in a context of wider plurilingualism. Migrations of the late 20th century triggered a rise of Surinamese Creoles near the western border of the department. 
A finer analysis of the contact situations is in progress, since the sociolinguistic situation was not well known and the present-day situation is quite different. Looking now towards the future, the borrowings we have been dealing with do not constitute a closed set. While the same processes are still in progress, several elements also show that, as the socio-cultural pressure and multilingualism are getting stronger, the languages enter a new phase in their contact history: examples of nonce-borrowings and code-switching are numerous, and let us foresee other interesting types of contact-induced changes.",,1,,1
136,,cs-9129144598385026,Pre-Columbian contact [38],"Recent work in the fields of archaeology and ethno-history points to the complexity of the contact situation and the overlap of the indigenous groups populating the area, as well as to the agitated ethnic situation of the pre-Columbian period.  The lexicons of diverse modern Amerindian languages from the Guianas (Caribbean, Arawakan and Tupi-Guarani families) share common elements, which seem to represent mutual borrowings whose ancestry is difficult to trace.",,1,,1
137,,cs-9129144132501485,Rise of the creoles [38],"In a third phase, contacts with European languages decreased, being taken over by contacts with vehicular languages developed in the colonies with the development of slave trade. Those languages are: (i) Sranan, the creole of the plantations of Surinam, born in the second half of the 17th century. Its lexicon is essentially based on English. (ii) The English-based creoles (varieties of Nengee) spoken by the Maroons, fugitives from the Surinamese plantations. (iii) Guianese Creole, a French based creole, resulting from slavery, French colonization an birth of Creole society, as other French-based creoles spoken after Antillean migrations. A certain degree of bilingualism of the Kali’na speakers with Sranan lasted until the end of the 20th century, due to their history as refugees in the Dutch colony in the 17th and 19th century, and to strong commercial relations across the border. The Kali’na population established intense social relations with the creoles of the Guianas later on, as they went back to French Guiana and some of them very likely became bilingual.",,1,,1
138,,cs-9129144734471712,Ancient contact [5],"Saharan languages, in particular Kanuri-Kanembu, must have a rather long history of geographical neighborhood with not only other Saharan languages (like Tedaga-Dazaga to the north, and Beria further to the east) but with immediately adjacent Chadic languages in the vicinity and south, west, and east of Lake Chad, plus Adamawa-Ubangi and Central Sudanic languages (like Bagirmi) even further to the south.",,1,,1
262,,cs-9129144683125499,Portuguese [1],The Portuguese influence on Swahili comes from a period of two centuries (1500-1700) when Portugal was using its military power against the Swahili towns in an attempt to dominate trade in the Indian Ocean. (Portugal’s dominance was broken by the Omani in the northern parts of the Swahili coast.),,1,,1
139,,cs-922122726116720,Arabic cultural contact [5],"Arabic is closely linked to the advent and spread of Islam in West and Central Africa both in terms of religion and dominant political force and culture, but there have also been nomadic speakers of Shuwa Arabic (and possibly speakers of Chad Arabic) who had entered in greater numbers from the eastern region from 1700 on, after having infiltrated southern Kanem and the areas southeast of Lake Chad, some of whom underwent complete linguistic and cultural assimilation (“Kanuri(ci)zation”). Islamization began in the 11th century. Quite likely, Islam reached the area between the River Niger in the west and Lake Chad in the east via several gateways and roughly at the same time: The earliest contacts may have been through either the straight north-south trans-Saharan route from Fezzan to Lake Chad or from the east, i.e. following what would later become the main pilgrimage route along the southern fringes of the Sahara desert that connected, for instance, the Islamic centres in Mali, such as Timbuktu, with Khartoum in Sudan and the Holy Cities across the Red Sea. There was also the north-west gateway via Morocco and the western trans-Saharan trade routes.",,1,,1
247,,cs-912914483374399,Shift to Indo-Aryan [9],"Loanwords or suggested loanwords into Old and Middle Indo-Aryan from Para-Munda, Dravidian, and (ancient) Burushaski.",,1,,1
141,,cs-9221227376924059,Areal contact [5],"In view of the fact that Saharan languages, in particular Kanuri-Kanembu, must have a rather long history of geographical neighbourhood with not only other Saharan languages (like Tedaga-Dazaga to the north, and Beria further to the east) but with immediately adjacent Chadic languages in the vicinity and south, west, and east of Lake Chad, plus Adamawa-Ubangi and Central Sudanic languages (like Bagirmi) even further to the south, it is not surprising to find lexical items which are geographically very widely spread across established genealogical affiliations of languages and whose ultimate origin remains obscure to the extent that the few available reconstructions of proto-languages may reflect such items across different language phyla. For such lexical items that have become inherited vocabulary in more than one established phylum (i.e. Nilosaharan, Afroasiatic, Niger-Congo) we have introduced the term “areal root”. For such areal roots we assume borrowing at such time-depth that the ultimate origin and direction of borrowing is no longer detectable.",,1,,1
142,,cs-9221226224716751,Berber contact [5],"Occasionally, berberophone Tuareg of the southern Sahara may have played a role in the process of Islamization.",,1,,1
143,,cs-9221226627044120,English colonial contact [5],"With the advent of European missionaries and colonialism (British, French, and German), English and French became major sources of loans, particularly in semantic domains related to colonial administration, Christian mission, and 20th century Western civilization. The observation that English plays a larger role as donor than French in the database may reflect our primary concern with Standard Kanuri (based on a dialect in the former British sphere of influence) on the one hand, and differences in the colonial politics of the British and the French on the other. (Vernacular education and functional multilingualism was largely supported under the British “indirect rule” approach, whereas French assimilation politics fostered tendencies of strong “language purism”.) Most of the larger Kanuri villages have some English resp. French bilinguals, predominantly young adults who are fluent enough in a former colonial language at least for basic communication. Today children learn Hausa and English resp. French at school, the mother-tongue education in Kanuri has declined significantly.",,1,,1
144,,cs-9221226189108517,English cultural contact [5],"With the advent of European missionaries and colonialism (British, French, and German), English and French became major sources of loans, particularly in semantic domains related to colonial administration, Christian mission, and 20th century Western civilization. The observation that English plays a larger role as donor than French in the database may reflect our primary concern with Standard Kanuri (based on a dialect in the former British sphere of influence) on the one hand, and differences in the colonial politics of the British and the French on the other. (Vernacular education and functional multilingualism was largely supported under the British “indirect rule” approach, whereas French assimilation politics fostered tendencies of strong “language purism”.) Most of the larger Kanuri villages have some English resp. French bilinguals, predominantly young adults who are fluent enough in a former colonial language at least for basic communication. Today children learn Hausa and English resp. French at school, the mother-tongue education in Kanuri has declined significantly.",,1,,1
145,,cs-9221226211233765,French colonial contact [5],"With the advent of European missionaries and colonialism (British, French, and German), English and French became major sources of loans, particularly in semantic domains related to colonial administration, Christian mission, and 20th century Western civilization. The observation that English plays a larger role as donor than French in the database may reflect our primary concern with Standard Kanuri (based on a dialect in the former British sphere of influence) on the one hand, and differences in the colonial politics of the British and the French on the other. (Vernacular education and functional multilingualism was largely supported under the British “indirect rule” approach, whereas French assimilation politics fostered tendencies of strong “language purism”.) Most of the larger Kanuri villages have some English resp. French bilinguals, predominantly young adults who are fluent enough in a former colonial language at least for basic communication. Today children learn Hausa and English resp. French at school, the mother-tongue education in Kanuri has declined significantly.",,1,,1
146,,cs-9129144553906174,Indian Ocean [1],"This is a cover term for all maritime contacts within the Indian Ocean trading network. The most important donor languages are Arabic and languages from India. Swahili – Arabic contacts have a long and varied history; the Indian Ocean trading network is just one of the relevant “contact situations”. Others include the spread of Arabic-dominated Islamic culture (including but not restricted to religion) and the Omani political dominance. Since we are unable to identify these “contact situations” for a particular loan in a non-circular way, they are all subsumed under “Indian Ocean”.",,1,,1
162,,cs-9129144727669233,Post-Soviet language development [14],"This most recent stratum of loanwords in Kildin comprises words which normally belong to a non-Saami domain of language use and are scarcely ever heard in actual Kildin conversation. The words in question have been adapted in a process of intentional language development rather than in unintentional linguistic borrowing, in the post-Soviet period. One characteristic of loanwords from this stratum is their lack of phonological integration.",,1,,1
415,"{""start_year"": 1250, ""end_year"": 1250}",a-12-1250,1250 [12],,,2,,1
147,,cs-9221226302019369,French cultural contact [5],"With the advent of European missionaries and colonialism (British, French, and German), English and French became major sources of loans, particularly in semantic domains related to colonial administration, Christian mission, and 20th century Western civilization. The observation that English plays a larger role as donor than French in the database may reflect our primary concern with Standard Kanuri (based on a dialect in the former British sphere of influence) on the one hand, and differences in the colonial politics of the British and the French on the other. (Vernacular education and functional multilingualism was largely supported under the British “indirect rule” approach, whereas French assimilation politics fostered tendencies of strong “language purism”.) Most of the larger Kanuri villages have some English resp. French bilinguals, predominantly young adults who are fluent enough in a former colonial language at least for basic communication. Today children learn Hausa and English resp. French at school, the mother-tongue education in Kanuri has declined significantly.",,1,,1
148,,cs-9221226185253147,Hausa colonial contact [5],"Other African languages may have acted as intermediaries for loans from English and French, particularly languages of the West African coastal regions, from where much of the colonial conquest set out. This would bring coastal languages like Yoruba (for transporting English loans to the interior) into the picture. The most common intermediary language, however, was apparently Hausa, the major lingua franca of the last few centuries which passed on many words that traveled across the Sahel zone south of the Sahara desert in geographical west > east  and south > north directions.",,1,,1
248,,cs-9129144326204887,South Slavic bilingualism [9],"Loanwords into pre-Selice Romani from South Slavic, especially Serbian-Croatian. The category is also applied to probable South Slavic loanwords that may, nevertheless, be of later, Hungarian and/or Slovak, origin.",,1,,1
150,,cs-9221226123968694,Islamic non-Arabic contact [5],"Other African languages may have acted as intermediaries for loans from English and French, particularly languages of the West African coastal regions, from where much of the colonial conquest set out. This would bring coastal languages like Yoruba (for transporting English loans to the interior) into the picture. The most common intermediary language, however, was apparently Hausa, the major lingua franca of the last few centuries which passed on many words that traveled across the Sahel zone south of the Sahara desert in geographical west > east  and south > north directions.",,1,,1
151,,cs-9221227116422228,Yoruba contact [5],"Other African languages may have acted as intermediaries for loans from English and French, particularly languages of the West African coastal regions, from where much of the colonial conquest set out. This would bring coastal languages like Yoruba (for transporting English loans to the interior) into the picture. The most common intermediary language, however, was apparently Hausa, the major lingua franca of the last few centuries which passed on many words that travelled across the Sahel zone south of the Sahara desert in geographical west > east  and south > north directions.",,1,,1
152,,cs-9129144562754008,Contact with Evenki tribes [18],"The Nenets and Enets groups to the north, as well as the Evenki tribes pushing into the Yenisei watershed from eastern Siberia, tended to be adversarial toward the Ket. Contact was sporadic and generally hostile, with few or no identifiable loanwords into the Ket dialects from Nenets, Enets, or Evenki.",,1,,1
153,,cs-9129144964394318,Domesticated reindeer borrowed from Selkup [18],"The Ket developed friendly relations with the selkup and even exchanged marriage partners after the traditional inter-Ket exogamous phratry system collapsed in the wake of smallpox epidemics. Selkup loans in Ket are somewhat more common and include the ethnonym la’q ‘Selkup’, a word that means ‘friend’ in Selkup, symbolizing the close relations between Ket and Selkup peoples. There are also loans relating to domesticated reindeer (qobd ‘castrated reindeer’, ollas ‘reindeer calf’, kaγli ‘reindeer sled’), with some Ket in the Yelogui River area (near present-day Kellog Village) even adopting reindeer breeding by the early 20th century.",,1,,1
156,,cs-9129144334842753,Russian superstrate [18],"While most ethnic Ket spoke their language fluently and used Russian, at most, as a second language even as late as the 1920s, the events of the Soviet period irrevocably placed Ket on the path toward oblivion. During the 1930s the Ket were collectivized and forced to live alongside Russians and other Native Siberian minorities in the riverside villages where they currently reside, leading to a general adoption of Russian for interethnic communication. During the 1960s the Ket were forced to give up their children to boarding-school education where a Russian-only rule was vigorously enforced. This led to general language shift by the younger generations.",,1,,1
157,,cs-9129144531686202,Trade goods [18],"The sporadic nature of Ket contact with the Russians remained little changed until the 1930s, and relatively few words from Russian were taken into the language in this initial period. Early loanwords include trade items such as teslá ‘adze’ (< Russian teslo ‘adze’), kurúk ‘hook’ (< Russian krʲuk ‘hook’), and postóp ‘glass bottle’ (< Russian stopka ‘shot glass’).",,1,,1
158,,cs-9129144259637501,Karelian colonization [14],"The period of Karelian colonization on the Kola Peninsula coincides more or less with Scandinavian migration and trade. However, the Karelian contacts left considerably more traces in the Kildin Saami lexicon.",,1,,1
159,,cs-9129144725768953,Komi colonization [14],"The Saami have been in contact with Komi colonists on the Kola peninsula, and these contacts continue at present. However, this contact has probably not left many traces. Komi loanwords in Saami are all dated before 1900.",,1,,1
160,,cs-912914452656862,Norwegian migration and trade [14],"Contacts with traders and settlers from Scandinavia (mostly from Norway) lasted for centuries, but stopped before World War II.",,1,,1
163,,cs-9129144132216347,Russian colonization [14],"This contact situation is relevant to loanwords in Common Kola Saami, since the results of the linguistic contacts during early Russian contacts until Sovietization concerns all Kola Saami languages equally.",,1,,1
249,,cs-9129144516628084,West Asian multilingualism [9],"Loanwords or suggested loanwords into Proto-Romani from various Middle-Eastern languages: Iranian (Persian, Kurdish and Ossetic), Armenian, and Georgian.",,1,,1
250,,cs-9212213726116720,African slaves in the 18th century [7],,,1,,1
